LOAN_ID,DATE,CUSTOMER_AGE,TOTAL_PAID,TOTAL_DUE_TODAY,BALANCE,DAYS_PAST_DUE,CLOSING_BALANCE,ADVANCE,BALANCE_DUE_TO_DATE,ARREARS,BALANCE_DUE_STATUS,PAYMENT,EXPECTED_PAYMENT,FIRST_PAYMENT,FIRST_EXPECTED_PAYMENT,ACCOUNT_STATUS_L1,ACCOUNT_STATUS_L2,RETURN_DATE,SALE_DATE,CREDIT_CHECK_DONE,PAYMENT_AMOUNT,ADJUSTMENT_AMOUNT,PREPAYMENT_AMOUNT,DEPOSIT,WEEKLY_RATE,CREDIT_EXPIRY,NEXT_INVOICE_DATE,,DISCOUNT,OVERPAYMENT_AMOUNT,MAX_PAYMENT_DATE,INITIAL_PAY,TOTAL_PAID_WITH_ADJUSTMENTS_15D
reczZiie22UfW6jzq,12/30/2025,441,68959,68959,0,0,0,0,0,0,up to date,0,0,0,0,Paid Off Loan,Paid Off,,10/15/2024,Y LOAN,,,0,7599,1180,10/14/2025,1/6/2026,,0,0,12/23/2025,8779,68959
recvDazucywbN0XCG,12/30/2025,130,11399,11399,14850,0,14850,0,0,0,up to date,0,0,0,0,Existing Active,Active,,8/22/2025,Y LOAN,,,0,2849,450,1/2/2026,1/2/2026,,0,0,12/25/2025,3299,11399
recEc4UFc7rXjdNqc,12/30/2025,883,137280,151459,0,0,0,0,-14179,14179,Arrears,0,0,0,0,Paid Off Loan,Paid Off,,7/31/2023,Y LOAN,,,0,22499,2480,6/10/2024,1/5/2026,,14179,0,1/28/2024,27459,137280
rec1a55A7ospM1pyY,12/30/2025,32,11679,11679,54990,0,54990,0,0,0,up to date,0,0,0,0,Existing Active,Active,,11/28/2025,Y LOAN,,,0,5829,1170,1/2/2026,1/2/2026,,0,0,12/26/2025,6999,11679
recqDWHPzwZrSsJii,12/30/2025,513,44944,45039,0,0,0,0,-95,95,Arrears,0,0,0,0,Paid Off Loan,Paid Off,,8/4/2024,Y LOAN,,,0,4999,770,7/27/2025,1/4/2026,,95,0,7/27/2025,5769,44944
recGbe6M7ZKV99teG,12/30/2025,367,20589,82419,61830,311,61830,0,-61830,61830,Arrears,0,0,0,0,Write Off,PAR 30,,12/28/2024,Y LOAN,,,0,9099,1410,2/22/2025,1/3/2026,,0,0,2/23/2025,10509,20589
recnB2BUhZsEsHXPu,12/30/2025,451,10399,81799,71400,444,71400,0,-71400,71400,Arrears,0,0,0,0,First Payment Default,FPD,,10/5/2024,Y LOAN,,,0,8999,1400,10/12/2024,1/3/2026,,0,0,10/5/2024,10399,10399
recZl6QI7J9j3WtM1,12/30/2025,192,50229,50089,35140,0,35140,140,140,0,advance,0,0,0,0,Existing Active,Active,,6/21/2025,Y LOAN,,,0,8929,1470,1/3/2026,1/3/2026,,0,0,12/27/2025,10399,50229
rec8HFmF0yfh6LION,12/30/2025,209,22999,30649,26350,62,26350,0,-7650,7650,Arrears,0,0,0,0,Blocked 61-90,PAR 30,,6/4/2025,Y LOAN,,,0,5149,850,10/29/2025,12/31/2025,,0,0,10/22/2025,5999,22999
recUQwHhQrfDHkFb0,12/30/2025,406,95879,95879,0,0,0,0,0,0,up to date,0,0,0,0,Paid Off Loan,Paid Off,,11/19/2024,Y LOAN,,,0,10599,1640,11/18/2025,1/6/2026,,0,0,12/18/2025,12239,95879
recZpiiiEsO5uDGlx,12/30/2025,237,42399,38249,12950,0,12950,4150,4150,0,advance,0,0,0,0,Existing Active,Active,,5/7/2025,Y LOAN,,,0,5949,950,1/28/2026,12/31/2025,,0,0,12/8/2025,6899,42399
recGPxEsuwBPIBlTl,12/30/2025,117,24019,27279,41280,0,41280,20,20,0,advance,0,0,0,0,Existing Active,Active,,9/4/2025,Y LOAN,,,0,7219,1180,1/1/2026,1/1/2026,,0,0,12/24/2025,8399,27299
rec27X4GFwMpr8T7Z,12/30/2025,820,50219,50219,0,0,0,0,0,0,up to date,0,0,0,0,Paid Off Loan,Paid Off,,10/2/2023,Y LOAN,,,0,5499,860,9/30/2024,1/5/2026,,0,0,8/30/2024,6359,50219
recpMPHmS8ID2u2uw,12/30/2025,410,7195,90379,75989,403,75989,0,-75989,75989,Arrears,0,0,0,0,First Month Default with inventory,Return,00:00.0,11/15/2024,Y LOAN,,,0,12899,1490,11/22/2024,1/2/2026,,0,0,11/18/2024,14389,14390
recwMrzsj7ESeZLX1,12/30/2025,42,18049,19419,63020,0,63020,0,-1370,1370,Arrears,0,1370,0,0,Existing Active,Active,,11/18/2025,Y LOAN,,,0,9829,1370,12/30/2025,1/6/2026,,0,0,12/23/2025,11199,18049
recTkudJ5IMKxy0yW,12/30/2025,245,17399,60299,58500,224,58500,0,-42900,42900,Arrears,0,1300,0,0,Write Off,PAR 30,,4/29/2025,Y LOAN,,,0,8299,1300,5/20/2025,1/6/2026,,0,0,5/14/2025,14799,17399
rec81QLPtI84qAEaN,12/30/2025,260,25619,34089,19250,71,19250,0,-8470,8470,Arrears,0,0,0,0,Blocked 61-90,PAR 30,,4/14/2025,Y LOAN,,,0,4829,770,10/20/2025,1/5/2026,,0,0,10/16/2025,5599,25619
recFu45njwuWhyVva,12/30/2025,15,5480,7739,47469,0,47469,61,61,0,advance,0,0,0,0,New Active,Active,,12/15/2025,Y LOAN,,,0,4829,970,1/5/2026,1/5/2026,,0,0,12/29/2025,5799,7800
recz0gYG6k3gp1Iye,12/30/2025,398,46079,46079,0,0,0,0,0,0,up to date,0,0,0,0,Paid Off Loan,Paid Off,,11/27/2024,Y LOAN,,,0,4999,790,11/26/2025,12/31/2025,,0,0,11/19/2025,5789,46079
recFepXCJhTaV1upO,12/30/2025,22,6799,10219,58140,15,58140,0,-3420,3420,Arrears,0,0,0,0,First Payment Default,FPD,,12/8/2025,Y LOAN,,,0,5659,1140,12/15/2025,1/5/2026,,0,0,12/8/2025,6799,6799
recuPmOjJ7F72akT4,12/30/2025,699,40280,45559,5279,384,5279,0,-5279,5279,Arrears,0,0,0,0,Write Off,PAR 30,,1/31/2024,Y LOAN,,,0,4999,780,12/11/2024,12/31/2025,,0,0,12/29/2024,5779,40280
recQhzCEURaLQGLMI,12/30/2025,374,83659,83659,0,0,0,0,0,0,up to date,0,0,0,0,Paid Off Loan,Paid Off,,12/21/2024,Y LOAN,,,0,11899,1380,12/20/2025,1/3/2026,,0,0,8/28/2025,13279,83659
recjFIcR3QmQqG3Sk,12/30/2025,27,11679,10509,54990,0,54990,1170,1170,0,advance,0,0,0,0,New Active,Active,,12/3/2025,Y LOAN,,,0,5829,1170,1/7/2026,12/31/2025,,0,0,12/27/2025,6999,11679
